model,split,class,images,instances,precision,recall,f1,ap50,ap75,ap50_95
nano+原版 EMA + AIFI-Lite,hard,Lighter,338,351,0.939513,0.708035,0.807513,0.815006,0.687188,0.62191
nano+原版 EMA + AIFI-Lite,hidden,Baton,201,202,0.912429,0.99505,0.95195,0.980751,0.958607,0.861119
nano+原版 EMA + AIFI-Lite,hidden,Plier,502,502,0.959885,0.905644,0.931976,0.98108,0.960619,0.863775
nano+原版 EMA + AIFI-Lite,hidden,Hammer,470,470,0.993617,0.993571,0.993594,0.992795,0.964319,0.914929
nano+原版 EMA + AIFI-Lite,hidden,Powerbank,401,401,0.973375,0.911699,0.941528,0.967259,0.887676,0.723561
nano+原版 EMA + AIFI-Lite,hidden,Scissors,503,503,0.873501,0.848907,0.861028,0.894467,0.746266,0.650883
nano+原版 EMA + AIFI-Lite,hidden,Wrench,501,501,0.981749,0.97006,0.975869,0.989472,0.98922,0.943094
nano+原版 EMA + AIFI-Lite,hidden,Gun,519,519,0.958111,0.881406,0.918159,0.967255,0.913219,0.816746
nano+原版 EMA + AIFI-Lite,hidden,Bullet,299,299,0.870502,0.769231,0.816739,0.847901,0.740609,0.656953
nano+原版 EMA + AIFI-Lite,hidden,Sprayer,400,400,0.957847,0.9825,0.970017,0.98984,0.921849,0.834056
nano+原版 EMA + AIFI-Lite,hidden,HandCuffs,302,302,0.982235,0.996689,0.989409,0.995,0.995,0.971782
nano+原版 EMA + AIFI-Lite,hidden,Knife,501,502,0.957967,0.726394,0.826262,0.84878,0.692585,0.635052
nano+原版 EMA + AIFI-Lite,hidden,Lighter,406,407,0.897068,0.538084,0.672678,0.679961,0.514166,0.448409
